Change_Date_Month;2;;;;;;;;;;;;;;;;;;;;;;;;
Postponed_Week;(All);;;;;;;;;;;;;;;;;;;;;;Sold_to_ID;(All);
;;;;;;;;;;;;;;;;;;;;;;;Customer_Name;(All);
Rim size;Number_of changes;;;;;;;;;;;;;;;;;;;;;;Change_Date_Month;2;
12;124;;;;;;;;;;;;;;;;;;;;;;;;
13;4872;;;;;;;;;;;;;;;;;;;;;;Number_of changes;;
14;26277;;;;;;;;;;;;;;;;;;;;;;Grouped confirmed quantity;Rim_Diameter_Inches;Total
15;79009;;;;;;;;;;;;;;;;;;;;;;1 to 10;12;20
16;156658;;;;;;;;;;;;;;;;;;;;;;;13;824
17;254587;;;;;;;;;;;;;;;;;;;;;;;14;4913
18;238754;;;;;;;;;;;;;;;;;;;;;;;15;14542
19;152329;;;;;;;;;;;;;;;;;;;;;;;16;29873
20;70359;;;;;;;;;;;;;;;;;;;;;;;17;44484
21;34758;;;;;;;;;;;;;;;;;;;;;;;18;42433
22;14350;;;;;;;;;;;;;;;;;;;;;;;19;26606
23;1163;;;;;;;;;;;;;;;;;;;;;;;20;13835
Grand Total;1033240;;;;;;;;;;;;;;;;;;;;;;;21;6159
;;;;;;;;;;;;;;;;;;;;;;;;22;2731
;;;;;;;;;;;;;;;;;;;;;;;;23;137
;;;;;;;;;;;;;;;;;;;;;;;101 to 200;13;34
;;;;;;;;;;;;;;;;;;;;;;;;14;686
;;;;;;;;;;;;;;;;;;;;;;;;15;2054
;;;;;;;;;;;;;;;;;;;;;;;;16;3499
;;;;;;;;;;;;;;;;;;;;;;;;17;5401
;;;;;;;;;;;;;;;;;;;;;;;;18;4243
Change_Date_Month;2;;;;;;;;;;;;;;;;;;;;;;;19;2435
Postponed_Week;(All);;;;;;;;;;;;;;;;;;;;;;;20;1084
;;;;;;;;;;;;;;;;;;;;;;;;21;275
Rim size;Count of Order_Line_Number;_Count of Changes;_Changes on Earlier Date;_Changes on Later Date;;;;;;;;;;;;;;;;;;;;22;161
12;120;124;61;63;;;;;;;;;;;;;;;;;;;;23;15
13;2006;4872;525;4347;;;;;;;;;;;;;;;;;;;11 to 50;12;23
14;16359;26277;7733;18544;;;;;;;;;;;;;;;;;;;;13;1013
15;49883;79009;24448;54561;;;;;;;;;;;;;;;;;;;;14;6730
16;90094;156658;39414;117244;;;;;;;;;;;;;;;;;;;;15;18040
17;150867;254587;65652;188935;;;;;;;;;;;;;;;;;;;;16;35279
18;136276;238754;55334;183420;;;;;;;;;;;;;;;;;;;;17;57326
19;87625;152329;36884;115445;;;;;;;;;;;;;;;;;;;;18;52099
20;39433;70359;16730;53629;;;;;;;;;;;;;;;;;;;;19;33410
21;18535;34758;7272;27486;;;;;;;;;;;;;;;;;;;;20;12834
22;7548;14350;3062;11288;;;;;;;;;;;;;;;;;;;;21;5425
23;521;1163;177;986;;;;;;;;;;;;;;;;;;;;22;2062
Grand Total;599267;1033240;257292;775948;;;;;;;;;;;;;;;;;;;;23;130
;;;;;;;;;;;;;;;;;;;;;;;;24;1
;;;;;;;;;;;;;;;;;;;;;;;201+;13;22
;;;;;;;;;;;;;;;;;;;;;;;;14;759
;;;;;;;;;;;;;;;;;;;;;;;;15;2977
;;;;;;;;;;;;;;;;;;;;;;;;16;5123
;;;;;;;;;;;;;;;;;;;;;;;;17;5553
;;;;;;;;;;;;;;;;;;;;;;;;18;3652
;;;;;;;;;;;;;;;;;;;;;;;;19;1957
;;;;;;;;;;;;;;;;;;;;;;;;20;1021
;;;;;;;;;;;;;;;;;;;;;;;;21;322
;;;;;;;;;;;;;;;;;;;;;;;;22;58
;;;;;;;;;;;;;;;;;;;;;;;51 to 100;12;7
;;;;;;;;;;;;;;;;;;;;;;;;13;114
;;;;;;;;;;;;;;;;;;;;;;;;14;1214
;;;;;;;;;;;;;;;;;;;;;;;;15;3712
;;;;;;;;;;;;;;;;;;;;;;;;16;6753
;;;;;;;;;;;;;;;;;;;;;;;;17;11904
;;;;;;;;;;;;;;;;;;;;;;;;18;9171
;;;;;;;;;;;;;;;;;;;;;;;;19;5378
;;;;;;;;;;;;;;;;;;;;;;;;20;2020
;;;;;;;;;;;;;;;;;;;;;;;;21;597
;;;;;;;;;;;;;;;;;;;;;;;;22;135
;;;;;;;;;;;;;;;;;;;;;;;;23;16
;;;;;;;;;;;;;;;;;;;;;;;Less than 5;12;74
;;;;;;;;;;;;;;;;;;;;;;;;13;2865
;;;;;;;;;;;;;;;;;;;;;;;;14;11975
;;;;;;;;;;;;;;;;;;;;;;;;15;37684
;;;;;;;;;;;;;;;;;;;;;;;;16;76131
;;;;;;;;;;;;;;;;;;;;;;;;17;129919
;;;;;;;;;;;;;;;;;;;;;;;;18;127156
;;;;;;;;;;;;;;;;;;;;;;;;19;82543
;;;;;;;;;;;;;;;;;;;;;;;;20;39565
;;;;;;;;;;;;;;;;;;;;;;;;21;21980
;;;;;;;;;;;;;;;;;;;;;;;;22;9203
;;;;;;;;;;;;;;;;;;;;;;;;23;865
;;;;;;;;;;;;;;;;;;;;;;;Grand Total;;1033241
